filename,n_nodes,mst_cost,mst_time_s,christofides_cost,christofides_time_s,total_time_s
2538,30,628.9865675911839,0.001099,592.6590093094276,0.001218,0.002317
2539,22,400.5427075650654,0.000586,432.52326289197555,0.000528,0.001114
2540,89,979.908101257276,0.009822,1101.2300391464087,0.025233,0.035056
2541,65,879.0750979052025,0.005221,923.598330131014,0.010189,0.015410
2542,97,1034.7778635348093,0.011691,1150.2128771602343,0.032161,0.043852
2543,74,977.6693512719894,0.006798,962.8640641804565,0.014565,0.021364
2544,50,801.8280508505957,0.003056,737.0446892976042,0.004729,0.007785
2545,20,539.7185408415719,0.000499,520.711560726578,0.000433,0.000932
2546,95,1079.4848631379525,0.011259,1174.297333284136,0.030405,0.041665
2547,84,1000.1352298406093,0.008811,1119.4071298982817,0.021179,0.029990
2548,97,923.1145981692392,0.011934,1046.114683718418,0.032145,0.044080
2549,25,537.2837257111136,0.000809,645.6695753639531,0.000774,0.001583
2550,86,921.0382245286382,0.009232,1026.6880277702862,0.022731,0.031963
2551,55,762.6289155627427,0.003778,714.7038850160436,0.006333,0.010111
2552,54,766.1718876616618,0.003589,826.2628122960092,0.005923,0.009513
2553,100,1067.4132578549381,0.012450,1101.2373089713394,0.035216,0.047665
2554,29,457.8138687017644,0.001063,458.1136444269618,0.001153,0.002216
2555,65,766.8097355725389,0.005231,853.5688116206335,0.010029,0.015260
2556,48,812.5091740720371,0.002807,955.7372733024463,0.004308,0.007115
2557,78,967.1110849523178,0.007539,1028.8278704368504,0.016953,0.024493
2558,23,526.4880765156154,0.000642,594.1782753587361,0.000585,0.001227
2559,59,795.6011090968125,0.004289,801.5106446938671,0.007675,0.011963
2560,41,720.3856258502415,0.002058,792.124011599432,0.002726,0.004785
2561,98,1013.259629569756,0.011924,1072.9819948483007,0.033193,0.045118
2562,91,1021.6967217192803,0.010278,1070.4916997718358,0.026462,0.036740
2563,66,776.1791677416327,0.005377,859.3858974830397,0.010597,0.015974
2564,76,896.3110605678826,0.007146,893.89744615637,0.015801,0.022947
2565,84,1012.9652447119216,0.008754,1235.1053111485555,0.021117,0.029871
2566,86,1035.1920403918862,0.009159,955.5427415435158,0.022762,0.031921
2567,30,514.7367744532708,0.001106,568.7702922231346,0.001200,0.002306
2568,36,654.9925490007618,0.001580,703.5764077563933,0.001938,0.003518
2569,98,1067.3544717685943,0.011924,954.5766333990076,0.033210,0.045134
2570,39,635.9459450960144,0.001874,643.0254813927379,0.002472,0.004345
2571,38,624.1728499397657,0.001787,577.8373668807563,0.002240,0.004027
2572,25,619.9606710988578,0.000764,605.6777964075123,0.000780,0.001543
2573,26,562.9255388154022,0.001027,644.371638802267,0.000873,0.001901
2574,84,846.2927226776284,0.009797,910.0230512737883,0.021279,0.031077
2575,75,932.1576319606522,0.006966,920.0052553167513,0.015339,0.022305
2576,72,897.5803775563796,0.006439,945.1188328865228,0.013596,0.020035
2577,48,683.2624913161762,0.002893,680.1269007162002,0.004322,0.007215
2578,57,796.0085549938013,0.004008,800.5562251488062,0.006933,0.010941
2579,21,547.0602254293455,0.000554,576.8366392057602,0.000499,0.001053
2580,41,715.2096777775897,0.002063,683.4762831174686,0.002771,0.004833
2581,97,1051.2226111074242,0.011842,944.3309850703039,0.032125,0.043967
2582,98,1017.1516041818568,0.011921,1125.319989677021,0.033053,0.044974
2583,78,925.0198670942581,0.007615,863.4120581794166,0.017209,0.024824
2584,99,982.1907943053244,0.012335,1109.9626016522777,0.034049,0.046385
2585,72,1034.3871088126348,0.006463,1007.7269268612336,0.013543,0.020006
2586,28,566.1415073302513,0.000964,616.0947256934749,0.000993,0.001958
2587,79,985.2787560096242,0.007746,1108.6786369644933,0.017594,0.025340
2588,53,706.1855009626663,0.003484,785.096398773375,0.005780,0.009264
2589,95,1023.1812731888115,0.011238,999.2357053225534,0.030267,0.041506
2590,70,869.56578815125,0.006066,895.6703634110777,0.012563,0.018630
2591,53,764.6605957006616,0.003472,788.7844788451395,0.005639,0.009111
2592,40,639.5420456533382,0.001968,633.8697063278977,0.002581,0.004549
2593,100,1048.9897880526933,0.012704,1225.909997492795,0.035234,0.047938
2594,95,1055.4507870210884,0.011212,1185.0020066556108,0.030387,0.041599
2595,51,662.6579255469624,0.003241,619.8525762608302,0.005079,0.008321
2596,43,686.3343312162327,0.002258,584.0032117448847,0.003232,0.005490
